1,天,0.0,0.0,0.41504605336963063,0.01761163937158223,0.0,0.0,0.14994939469343188,0.018283140564100554,1.0,0.17008987564243647,0.04619076550170844,0.16737550602578624,0.0,0.0,0.0,0.0,0.0,0.0
2,地,0.0,0.0,0.4205891014882099,0.11742689785657608,0.0,0.0,0.21877499563190123,0.31984664239578525,1.0,0.026495754307198662,0.0,0.0,0.0,0.0,0.4672312755160868,0.08364923159967214,0.0,0.0
3,玄,0.0,0.0,0.1386038665468166,0.0935835209054994,0.0,0.0,0.255154915569262,0.1708454795918272,1.0,0.17712024840982235,0.6143006691121556,0.20456716817522416,0.0,0.0,0.0,0.0,0.0,0.0
4,黃,0.014579484061271863,0.12499976126698864,0.24790544405458637,0.009934262152770428,0.0,0.0,0.3766062992660895,0.0065369350236187,1.0,0.25,0.4841245202814269,0.1982559473126509,0.0,0.0,0.0,0.0,0.0,0.0
5,宇,0.0,0.0,0.32903948188226423,0.020516757545236824,0.0,0.0,0.9811820839852928,0.010790251210154003,1.0,0.12772037031092218,0.9617301109135273,0.3349814351350498,0.26346720367364745,0.14831375290933327,0.23928118352244973,0.3749999658953572,0.0,0.0
6,宙,0.2803377355555827,0.9285834521494045,0.20308089709406754,0.9779348233228663,0.0,0.0,0.8340646081926406,0.06420612511804083,1.0,0.21624746995758015,0.2797908646739493,0.3938582901963665,0.3101641240009093,0.18587468797612058,0.16371228490884437,0.3975835739964901,0.0,0.0
7,洪,0.19541862858778555,0.24128790163958963,0.32960830836531013,0.22637614927698763,0.06572451122026707,0.9837333359801747,0.0,0.8903544396508244,1.0,0.9717771957822875,0.10694290927074562,0.1947633916292409,0.17814195311516848,0.22905715143110383,0.13646422267041386,0.17867550826582243,0.09716416941458503,0.06928863379917274
8,荒,0.07895527371717806,0.0737917815415059,0.0,0.0,0.09135558462900223,0.2323884261342664,1.0,0.07953758046161691,0.9091586240106924,0.28020421785249383,0.624878705869115,0.07321724349519158,0.0,0.0,0.0,0.0,0.05571578283007322,0.2644288204696412
9,日,0.0,0.0,0.0,0.0,0.0,0.0,0.9075653052843956,0.005732827470401264,1.0,0.18726704413498535,0.5640331104093768,0.5046118493762545,0.0,0.0,0.0,0.0,0.0,0.0
10,月,0.0,0.0,0.10736243862316848,0.3110865236099753,0.0,0.0,0.3828356170358126,0.15729942757552504,1.0,0.27848831015841896,0.25721999577423754,0.37332476360989986,0.0,0.0,0.0,0.0,0.0,0.0
11,盈,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11397425854953663,0.6214062834018219,0.27070645439182645,0.8105521975394847,0.12100196014626285,0.0,0.0,0.270708543864007,0.25338573127072095,0.0,0.0
